data_pt,px,py,dataset,num_points,q_min,q_max,filename
1,-31.5,9.0,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0001_1D.csv
2,-31.5,4.5,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0002_1D.csv
3,-31.5,0.0,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0003_1D.csv
4,-31.5,-4.5,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0004_1D.csv
5,-31.5,-9.0,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0005_1D.csv
6,-27.0,18.0,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0006_1D.csv
7,-27.0,13.5,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0007_1D.csv
8,-27.0,9.0,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0008_1D.csv
9,-27.0,4.5,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0009_1D.csv
10,-27.0,0.0,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0010_1D.csv
11,-27.0,-4.5,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0011_1D.csv
12,-27.0,-9.0,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0012_1D.csv
13,-27.0,-13.5,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0013_1D.csv
14,-27.0,-18.0,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0014_1D.csv
15,-22.5,22.5,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0015_1D.csv
16,-22.5,18.0,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0016_1D.csv
17,-22.5,13.5,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0017_1D.csv
18,-22.5,9.0,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0018_1D.csv
19,-22.5,4.5,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0019_1D.csv
20,-22.5,0.0,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0020_1D.csv
21,-22.5,-4.5,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0021_1D.csv
22,-22.5,-9.0,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0022_1D.csv
23,-22.5,-13.5,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0023_1D.csv
24,-22.5,-18.0,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0024_1D.csv
25,-22.5,-22.5,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0025_1D.csv
26,-18.0,27.0,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0026_1D.csv
27,-18.0,22.5,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0027_1D.csv
28,-18.0,18.0,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0028_1D.csv
29,-18.0,13.5,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0029_1D.csv
30,-18.0,9.0,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0030_1D.csv
31,-18.0,4.5,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0031_1D.csv
32,-18.0,0.0,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0032_1D.csv
33,-18.0,-4.5,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0033_1D.csv
34,-18.0,-9.0,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0034_1D.csv
35,-18.0,-13.5,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0035_1D.csv
36,-18.0,-18.0,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0036_1D.csv
37,-18.0,-22.5,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0037_1D.csv
38,-18.0,-27.0,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0038_1D.csv
39,-13.5,27.0,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0039_1D.csv
40,-13.5,22.5,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0040_1D.csv
41,-13.5,18.0,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0041_1D.csv
42,-13.5,13.5,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0042_1D.csv
43,-13.5,9.0,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0043_1D.csv
44,-13.5,4.5,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0044_1D.csv
45,-13.5,0.0,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0045_1D.csv
46,-13.5,-4.5,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0046_1D.csv
47,-13.5,-9.0,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0047_1D.csv
48,-13.5,-13.5,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0048_1D.csv
49,-13.5,-18.0,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0049_1D.csv
50,-13.5,-22.5,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0050_1D.csv
51,-13.5,-27.0,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0051_1D.csv
52,-9.0,31.5,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0052_1D.csv
53,-9.0,27.0,JHS007_X_11202019_Processed,1000,1,8,JHS007_X_11292019_CoSbZr500_t60_0053_1D.csv
